gene_symbol,count
ZNF81,5
KDM6B,5
MTHFR,5
LDLR,5
FAM13A,5
PHLDB2,5
NIPBL,5
MMP28,5
EXOC5,5
TRIOBP,5
HSPD1,5
FAM84A,5
ARMC9,5
USP31,5
BCL2L13,5
WWOX,5
COL27A1,5
SCAF4,5
SEPSECS,5
SUGT1,5
NUP210,5
VPRBP,5
LARP4,5
SEC62,5
PTPRC,5
SBNO1,5
LRRFIP2,5
NCOR2,5
G2E3,5
MYCN,5
GLIPR1,5
RABGAP1L,5
PRKAG2,5
ESYT2,5
HYDIN /// HYDIN2 /// LOC101930373,5
CLN8,5
HOXB-AS3,5
CDC42BPA,5
TNRC6C,5
ASAP1,5
HM13,5
EFCAB13,5
TMPO,5
FAM63B,4
RPE,4
ALOX5,4
RPS6,4
TP53AIP1,4
CWF19L2,4
GTF3C3,4
KCND3,4
ARHGAP23,4
NPRL3,4
ATG7,4
LYRM7,4
AKAP1,4
HNRNPA2B1,4
RDH10,4
AP2A1,4
LILRB3,4
CLCN3,4
COL4A3BP,4
ADD3,4
MTERF4,4
LRP1,4
BCORL1,4
SCEL,4
TBC1D9B,4
ZNF117,4
RAPGEF5,4
CAMK2G,4
TRIM3,4
WRNIP1,4
LINC01016,4
ANKRD10,4
TIAL1,4
HLA-DQB1 /// LOC101060835,4
C18orf25,4
MANEA,4
ESD,4
HTATIP2,4
ARHGAP8 /// PRR5-ARHGAP8,4
GINS4,4
CARHSP1,4
C20orf196,4
DDAH1,4
JUN,4
TRA2B,4
FKBP4,4
CCNT2,4
RBFOX2,4
ATG2B,4
KIAA0368,4
DDR1 /// MIR4640,4
PHTF1,4
COMT,4
PPAPDC1B,4
ZGRF1,4
POFUT2,4
CACNA1C,4
FAM20A,4
ABCG1,4
PTPN1,4
RAD51B,4
PDE11A,4
FGFR4,4
ANKRD12,4
NEMF,4
TRAF3IP3,4
PSMB2,4
AGPS,4
TTL,4
KLHDC4,4
GRK4,4
GATAD1,4
SNX3,4
TTC7A,4
ATG10,4
SALL3,4
SPOCK3,4
TMEM106A,4
ITPR2,4
CCDC169,4
MACROD2,4
LINC00667,4
GIGYF2,4
STON2,4
TFE3,4
AGO1,4
ICE2,4
ZNF7,4
GALNT2,4
MMP14,4
NDFIP2,4
CALCA,4
KCMF1,4
TP53BP1,4
BCL2,4
DNHD1,4
SLC38A1,4
